City,1,2,3,4,5,6
Paris,0,8780,8229,5840,2477,8044
Qingdao,8780,0,3519,11321,6352,8702
Urumqi,8229,3519,0,10441,3736,9457
NewYork,5840,11321,10441,0,7511,3800
Moscow,2477,6352,3736,7511,0,8404
Seattle,8044,8702,9457,3800,8404,0
